GlyTouCanAccession	GlycoepitopeAccession
G00031MO	EP0020
G00048MO	EP0010
G00049MO	EP0114
G00051MO	EP0011
G00052MO	EP0018
G00053MO	EP0008
G00054MO	EP0012
G00058MO	EP0139
G00059MO	EP0071
G00061MO	EP0073
G00066MO	EP0255
G00068MO	EP0250
G00659GQ	EP0016
G00672PE	EP0014
G01614ZM	EP0023
G01767JJ	EP0076
G02149VR	EP0111
G02240AO	EP0151
G02657AK	EP0061
G02880JU	EP0370
G03277YI	EP0048
G03509EL	EP0353
G06000DZ	EP0045
G06580KR	EP0140
G06597DS	EP0043
G07357YR	EP0091
G07394RV	EP0110
G08371CD	EP0352
G10203DW	EP0314
G11148DZ	EP0017
G12295TB	EP0013
G13157WZ	EP0141
G14000ZZ	EP0096
G17480GI	EP0259
G17927IW	EP0087
G18625KA	EP0069
G19059PI	EP0082
G20044TD	EP0079
G21066IE	EP0323
G21808VY	EP0090
G21856LC	EP0047
G22418PV	EP0019
G24270KX	EP0144
G25129BT	EP0039
G25559RS	EP0003
G27798EJ	EP0200
G28420BK	EP0211
G29406SZ	EP0320
G30187JM	EP0115
G30207PZ	EP0055
G30207PZ	EP0304
G31736BK	EP0150
G32254QI	EP0099
G32969VW	EP0313
G33532XU	EP0097
G34992DF	EP0083
G35778AN	EP0254
G36123IU	EP0022
G36855WW	EP0006
G37184KW	EP0059
G39023AU	EP0007
G39294YF	EP0005
G40183QN	EP0067
G40696TO	EP0251
G40843KY	EP0312
G43702JT	EP0081
G44345UH	EP0351
G45058HZ	EP0311
G45827GY	EP0322
G46677TE	EP0056
G46732TY	EP0084
G46776WR	EP0041
G47325QT	EP0065
G47379VH	EP0038
G48059CD	EP0350
G48117BL	EP0371
G48558GR	EP0050
G49108TO	EP0004
G53517XC	EP0302
G53517XC	EP0303
G54406UD	EP0001
G54733XO	EP0112
G54826OZ	EP0261
G54937EM	EP0095
G55205ZV	EP0046
G56045WU	EP0138
G56299XO	EP0325
G56478LD	EP0052
G56516VH	EP0305
G57321FI	EP0021
G57548NB	EP0319
G57709BH	EP0280
G57920AK	EP0057
G58896AZ	EP0075
G59126YU	EP0002
G60859DF	EP0321
G61149BD	EP0318
G61459JW	EP0252
G61730RY	EP0024
G62554JH	EP0035
G63813EJ	EP0080
G64227KZ	EP0212
G65889KE	EP0068
G65889KE	EP0074
G66163TI	EP0256
G67988RO	EP0113
G68110IF	EP0066
G69030AU	EP0210
G72548RZ	EP0120
G74121RX	EP0064
G74353FF	EP0257
G74578MX	EP0092
G74917JX	EP0094
G75789AR	EP0054
G77824XV	EP0301
G78436BB	EP0324
G78706CK	EP0009
G78818SP	EP0033
G79389NT	EP0051
G79535HZ	EP0093
G80062GG	EP0037
G80722US	EP0015
G81928IQ	EP0316
G82612XX	EP0104
G83513YI	EP0077
G84224TW	EP0078
G84263XI	EP0044
G84891DZ	EP0063
G85497PI	EP0042
G89307GT	EP0142
G91237TK	EP0053
G91532KA	EP0049
G91649BT	EP0072
G92175CL	EP0058
G93400AK	EP0040
G93855LZ	EP0213
G93899SO	EP0070
G93910CU	EP0326
G94435QH	EP0253
G94956AW	EP0262
G95233MF	EP0317
G97501MA	EP0260
G97932OH	EP0098
G98544DH	EP0062
G99053DY	EP0036
G99315PE	EP0258
G99745QX	EP0143
