glycan	label	nonspec	spec	total	percent	fisherscore	absint_median
H5N4F2S	Y[pN]	4	8	12	33.33	-6.21	+45194.35
H5N4F2S	Y[pH3N3]	2	8	10	20.00	-1.79	+42982.40
H5N4FS2	Y[pH2N2]	5	6	11	45.45	-12.00	+29623.06
H5N4FS2	Y[pN]	6	10	16	37.50	-9.86	+37090.06
H5N4FS2	Y[pH3N2]	4	6	10	40.00	-8.43	+24923.27
H5N4FS2	Y[pH4N3F]	4	8	12	33.33	-6.21	+82508.89
H5N4FS2	Y[pH3N3]	3	8	11	27.27	-3.72	+36568.67
H5N4FS2	Y[pH4N3]	3	8	11	27.27	-3.72	+55517.68
H5N4S	Y[pN]	1	9	10	10.00	+4.71	+68192.60
H5N4S2	Y[pHN2]	15	21	36	41.67	-23.82	+20128.91
H5N4S2	Y[pH2N2]	19	38	57	33.33	-16.67	+48284.73
H5N4S2	Y[pN2]	11	25	36	30.56	-9.11	+26058.96
H5N4S2	Y[pH3N2]	11	37	48	22.92	-3.51	+58989.45
H5N4S2	Y[pH3N3]	15	55	70	21.43	-2.71	+75998.87
H5N4S2	Y[pN]	17	71	88	19.32	+4.20	+57372.25
H5N4S2	Y[pH5N4]	5	29	34	14.71	+6.24	+105564.89
H5N4S2	Y[pH5N4S]	3	30	33	9.09	+12.47	+63473.07
H5N4S2	Y[pH4N3]	7	61	68	10.29	+18.92	+161858.46
H5N4S2	Y[pH4N3S]	4	45	49	8.16	+19.21	+115537.18
H5N4S2	Y[pH3N3S]	3	41	44	6.82	+20.67	+65641.86
H6N5FS3	Y[pH5N4FS]	5	7	12	41.67	-10.47	+78690.05
H6N5FS3	Y[pN]	5	14	19	26.32	-4.21	+63650.68
H6N5FS3	Y[pH5N4]	3	8	11	27.27	-3.72	+41472.45
H6N5FS3	Y[pH5N4S]	2	10	12	16.67	+2.89	+47922.50
H6N5FS3	Y[pH3N3]	2	13	15	13.33	+4.55	+60229.72
H6N5S3	Y[pH5N4]	4	7	11	36.36	-7.22	+50321.21
H6N5S3	Y[pN]	5	11	16	31.25	-6.19	+28818.76
H6N5S3	Y[pH5N4S]	3	8	11	27.27	-3.72	+68651.42
H6N5S3	Y[pH3N3]	2	9	11	18.18	+2.40	+34246.33
H6N5S3	Y[pH3N3S]	2	9	11	18.18	+2.40	+36355.26
